House Price (USD),HP in thousands,House Size,Acres,Lot Size,Bedrooms,T Bath,Age,Garage,Condition,Age Category
138000,138,1462,0.17,7405.2,3,1,41,1,0,M
425000,425,3975,0.16,6969.6,5,3,6,1,0,N
324000,324,3194,0.21,9147.6,6,3,46,1,0,M
215000,215,2007,0.07,3049.2,3,2.5,9,1,0,N
215000,215,1793,0.21,9147.6,3,2,20,1,0,N
147500,147.5,1544,0.13,5662.8,3,1,33,1,0,M
182000,182,1606,0.18,7840.8,3,2,21,1,0,N
259984,259.984,3034,0.13,5662.8,3,2.5,5,1,0,N
300000,300,3861,0.52,22651.2,3,3.5,5,1,0,N
437333,437.333,3881,0.29,12632.4,4,3,18,1,0,N
344500,344.5,3344,0.32,13939.2,4,2.5,4,1,0,N
242500,242.5,1959,0.07,3049.2,3,2.5,9,1,0,N
140000,140,1538,0.24,10454.4,3,1,54,1,1,O
70000,70,1644,0.23,10018.8,3,1.5,56,1,0,O
195000,195,1484,0.22,9583.2,3,2,49,1,0,M
289900,289.9,3608,1.91,83199.6,5,3,35,1,0,M
460000,460,2916,2.8,121968,4,3,29,1,0,M
245000,245,1967,0.2,8712,3,2,34,1,0,M
435000,435,2173,5.82,253519.2,1,1,92,0,0,VO
433500,433.5,4263,0.23,10018.8,3,2.5,14,0,0,N
220000,220,1861,0.19,8276.4,3,1.5,51,1,0,O
256000,256,3074,0.25,10890,4,2,47,1,0,M
230000,230,1526,0.07,3049.2,2,1.5,27,1,0,M
225000,225,1852,0.15,6534,3,2,17,1,1,N
247400,247.4,1960,0.22,9583.2,3,2,31,0,0,M
225000,225,1809,0.09,3920.4,2,2,34,1,0,M
402000,402,3406,0.16,6969.6,4,2.5,12,1,0,N
287000,287,2416,0.14,6098.4,3,2,16,1,0,N
291500,291.5,2302,0.33,14374.8,3,2,36,1,0,M
393000,393,3572,0.12,5227.2,4,2.5,88,1,1,VO
585000,585,4671,0.23,10018.8,4,3.5,10,1,0,N
285000,285,4860,5,217800,0,0,59,0,0,O
185000,185,2077,0.14,6098.4,0,0,67,0,0,M
200563,200.563,1980,0.16,6969.6,3,2,1,1,0,N
269000,269,2437,0.41,17859.6,2,1.5,53,1,0,O
255000,255,2308,0.25,10890,2,2,41,1,0,M
279000,279,2452,0.22,9583.2,4,3,42,0,0,M
107263,107.263,1788,0.25,10890,3,2,47,1,0,M
150000,150,3344,0.11,4791.6,4,2,40,0,0,M
218000,218,2568,0.2,8712,4,2,54,0,1,O
128000,128,2228,0.11,4791.6,2,1.5,24,1,0,N
285000,285,2980,0.32,13939.2,4,3,44,0,1,M
300000,300,3344,0.11,4791.6,4,2,40,0,0,M
247000,247,2068,0.11,4791.6,3,2.5,16,1,1,N
330000,330,3094,0.12,5227.2,4,2.5,12,1,0,N
206536,206.536,2107,0.23,10018.8,3,1.5,45,1,1,M
250000,250,5546,5,217800,3,2,30,1,0,M
