id,loan_amnt,funded_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,fico_range_low,fico_range_high,inq_last_6mths
30,20000,20000,60,9.58,421,B,MORTGAGE,85000,Not Verified,Current,725,729,2
31,20000,20000,60,10.47,430,B,MORTGAGE,74000,Not Verified,Current,765,769,0
32,15000,15000,36,6.83,462,A,RENT,75000,Source Verified,Current,675,679,0
33,13000,13000,60,24.85,380,E,MORTGAGE,45000,Verified,Fully Paid,695,699,1
34,30000,30000,36,11.05,983,B,RENT,103272,Verified,Current,680,684,0
35,30000,30000,36,13.58,1019,C,RENT,1.00E+05,Not Verified,Current,680,684,0
36,9000,9000,36,9.92,290,B,MORTGAGE,97000,Not Verified,Fully Paid,770,774,1
37,13000,13000,36,24.37,513,E,OWN,35000,Source Verified,Current,695,699,1
38,20000,20000,60,17.97,508,D,RENT,73000,Not Verified,Fully Paid,675,679,0
39,6000,6000,36,15.02,208,C,MORTGAGE,34000,Not Verified,Current,675,679,0
40,10000,10000,60,13.58,231,C,OWN,44000,Source Verified,Current,680,684,1
41,9775,9775,36,7.21,303,A,MORTGAGE,98600,Source Verified,Fully Paid,760,764,0
42,10000,10000,36,6.67,307,A,MORTGAGE,68000,Not Verified,Current,660,664,0
43,17000,17000,60,10.9,369,B,MORTGAGE,40000,Verified,Current,730,734,0
44,29400,29400,60,12.13,656,B,RENT,40000,Not Verified,Current,775,779,0
45,15000,15000,36,7.96,470,A,MORTGAGE,165000,Not Verified,Current,735,739,1
46,18000,18000,60,20.39,481,D,MORTGAGE,220000,Source Verified,Current,670,674,2
47,5000,5000,36,7.97,157,A,RENT,76000,Not Verified,Fully Paid,800,804,0
48,12000,12000,36,9.58,385,B,RENT,105000,Not Verified,Current,730,734,0
49,15000,15000,36,19.42,553,D,MORTGAGE,42000,Verified,Current,690,694,0
50,14000,14000,36,15.02,485,C,RENT,38000,Not Verified,Current,695,699,0
51,26000,26000,36,12.61,871,C,MORTGAGE,1.00E+05,Source Verified,Current,675,679,0
52,5000,5000,36,12.73,168,B,RENT,32000,Not Verified,Current,665,669,0
53,36000,36000,60,13.56,829,C,RENT,73000,Source Verified,Current,720,724,1
54,30000,30000,36,19.03,1100,D,OWN,84980,Verified,Current,660,664,0
55,3125,3125,36,6.46,96,A,RENT,80000,Not Verified,Current,740,744,1
56,20000,20000,60,27.27,614,E,MORTGAGE,54000,Not Verified,Current,665,669,0
57,8650,8650,36,19.42,319,D,MORTGAGE,44700,Verified,Late (16-30 days),690,694,1
58,22000,22000,36,5.32,663,A,MORTGAGE,62000,Source Verified,Current,720,724,0
59,10500,10500,60,13.58,242,C,OWN,90000,Verified,Current,705,709,0
60,9800,9800,36,10.56,319,B,MORTGAGE,120000,Source Verified,Current,685,689,0
61,14000,14000,60,19.42,366,D,RENT,90000,Source Verified,Current,670,674,1
62,6000,6000,36,15.02,208,C,MORTGAGE,70000,Source Verified,Current,660,664,0
63,21000,21000,36,12.62,704,C,MORTGAGE,75000,Not Verified,Current,680,684,0
64,25000,25000,36,5.31,753,A,RENT,88000,Not Verified,Current,755,759,0
65,33025,33025,36,16.91,1176,C,RENT,30000,Source Verified,Current,690,694,1
66,20000,20000,60,16.01,486,C,RENT,87000,Source Verified,Current,690,694,0
67,10000,10000,36,6.19,305,A,RENT,65000,Not Verified,Current,690,694,0
68,40000,40000,60,9.43,839,B,MORTGAGE,378990.15,Verified,Current,765,769,0
69,40000,40000,60,12.73,905,B,MORTGAGE,156880,Verified,Current,690,694,0
70,26125,26125,60,30.75,857,F,MORTGAGE,65664,Verified,Current,725,729,0
71,10000,10000,36,9.93,322,B,RENT,30000,Verified,Current,690,694,1
72,19000,19000,60,9.44,398,B,RENT,120000,Not Verified,Fully Paid,685,689,0
73,10000,10000,36,16.91,356,C,MORTGAGE,50000,Not Verified,Current,665,669,0
74,8000,8000,36,7.96,251,A,MORTGAGE,85000,Not Verified,Current,680,684,0
75,24000,24000,36,7.34,745,A,MORTGAGE,72560,Source Verified,Current,715,719,0
76,10000,10000,36,14.03,342,C,MORTGAGE,95000,Source Verified,Fully Paid,660,664,2
77,30000,30000,60,16.01,730,C,RENT,260000,Source Verified,Fully Paid,695,699,1
78,8000,8000,36,16.02,281,C,RENT,1.00E+05,Not Verified,Current,700,704,2
79,17000,17000,36,15.02,589,C,OWN,60000,Not Verified,Current,700,704,1
80,30000,30000,36,8.46,946,A,OWN,61000,Verified,Current,700,704,0
81,20000,20000,36,10.41,649,B,MORTGAGE,120000,Not Verified,Fully Paid,705,709,0
82,10000,10000,36,7.21,310,A,MORTGAGE,160000,Not Verified,Current,705,709,0
83,12300,12300,60,11.06,268,B,RENT,39000,Not Verified,Current,695,699,0
84,15000,15000,36,10.42,487,B,MORTGAGE,58000,Not Verified,Current,670,674,1
85,10000,10000,36,7.34,310,A,OWN,40012,Verified,Current,735,739,0
86,8475,8475,36,10.08,274,B,MORTGAGE,83000,Verified,Current,750,754,1
87,30000,30000,60,6.11,582,A,MORTGAGE,84000,Source Verified,Current,750,754,1
88,3000,3000,36,12.98,101,B,MORTGAGE,120000,Not Verified,Current,740,744,0
89,3800,3800,36,14.47,131,C,MORTGAGE,43000,Not Verified,Current,735,739,0
90,40000,40000,36,7.84,1251,A,MORTGAGE,140000,Source Verified,Current,775,779,0
91,15000,15000,36,8.46,473,A,MORTGAGE,65000,Source Verified,Current,755,759,0
92,1000,1000,36,16.02,35,C,RENT,80000,Not Verified,Fully Paid,665,669,2
93,4800,4800,36,12.98,162,B,RENT,56000,Not Verified,Current,735,739,0
94,10000,10000,60,10.08,213,B,MORTGAGE,39000,Source Verified,Current,705,709,1
95,15000,15000,36,7.35,466,A,RENT,79000,Not Verified,Current,715,719,0
96,13000,13000,60,24.85,380,E,RENT,67000,Not Verified,Fully Paid,660,664,1
97,5000,5000,36,17.97,181,D,MORTGAGE,78000,Not Verified,Current,680,684,0
98,6000,6000,36,10.42,195,B,RENT,31500,Not Verified,Current,705,709,0
99,25000,25000,36,13.06,843,C,MORTGAGE,120000,Source Verified,Current,670,674,0
100,21000,21000,36,15.02,728,C,MORTGAGE,65000,Source Verified,Current,685,689,0
101,24000,24000,36,16.91,855,C,RENT,80000,Source Verified,Current,690,694,2
102,20000,20000,36,16.14,705,C,MORTGAGE,90000,Source Verified,Current,710,714,0
103,6000,6000,36,14.07,205,C,MORTGAGE,40000,Not Verified,Current,680,684,1
104,12000,12000,36,5.31,361,A,RENT,60000,Not Verified,Current,790,794,0
105,11000,11000,60,21.45,300,D,RENT,42000,Verified,Charged Off,675,679,0
106,7750,7750,36,11.06,254,B,OWN,36000,Not Verified,Current,770,774,0
107,9500,9500,36,11.31,312,B,MORTGAGE,55000,Verified,Late (31-120 days),740,744,1
108,15600,15600,36,7.21,483,A,OWN,48000,Source Verified,Current,660,664,0
109,30000,30000,36,6.11,914,A,RENT,115000,Not Verified,Current,715,719,0
110,6500,6500,36,10.91,213,B,MORTGAGE,82000,Source Verified,Current,700,704,0
111,12000,12000,36,19.92,445,D,RENT,70000,Verified,Current,665,669,1
112,10000,10000,36,7.21,310,A,MORTGAGE,20000,Verified,Current,695,699,0
113,18000,18000,60,7.96,365,A,MORTGAGE,85000,Verified,Current,785,789,0
114,2300,2300,36,6.72,71,A,MORTGAGE,53000,Not Verified,Current,725,729,1
115,16000,16000,36,16.14,564,C,OWN,34000,Not Verified,Current,670,674,2
116,16000,16000,36,14.07,547,C,RENT,38000,Verified,Fully Paid,765,769,1
117,8500,8500,36,10.08,275,B,RENT,30000,Source Verified,Current,685,689,0
118,32000,32000,36,16.14,1127,C,RENT,80160,Source Verified,Current,665,669,1
119,10000,10000,36,7.21,310,A,MORTGAGE,70000,Not Verified,Current,675,679,1
120,10000,10000,36,19.42,369,D,MORTGAGE,82000,Not Verified,Current,680,684,0
121,20000,20000,36,7.84,625,A,MORTGAGE,280000,Not Verified,Fully Paid,715,719,0
122,5700,5700,36,6.72,175,A,MORTGAGE,13000,Not Verified,Current,805,809,0
123,25000,25000,60,17.47,628,D,MORTGAGE,130000,Not Verified,Current,705,709,1
124,20000,20000,60,18.94,518,D,MORTGAGE,88320,Not Verified,Fully Paid,695,699,0
125,16000,16000,36,6.11,488,A,MORTGAGE,105000,Not Verified,Current,665,669,0
126,40000,40000,36,9.92,1289,B,MORTGAGE,230000,Source Verified,Current,705,709,0
127,28000,28000,36,6.11,853,A,MORTGAGE,72000,Not Verified,Current,705,709,2
128,25000,25000,60,10.33,535,B,RENT,72000,Not Verified,Current,705,709,0
129,15125,15125,36,22.35,580,D,OWN,130849,Not Verified,Current,680,684,0
130,10000,10000,36,7.96,313,A,OWN,30000,Source Verified,Current,735,739,1
131,7500,7500,36,7.84,234,A,MORTGAGE,26281,Not Verified,Current,755,759,0
132,21000,21000,60,17.47,527,D,MORTGAGE,38000,Source Verified,Current,670,674,0
133,3000,3000,36,8.08,94,A,MORTGAGE,60000,Source Verified,Fully Paid,710,714,1
134,10000,10000,36,12.73,336,B,MORTGAGE,60000,Source Verified,Current,725,729,2
135,14000,14000,60,9.58,295,B,RENT,43000,Not Verified,Current,770,774,0
136,16000,16000,60,16.02,389,C,MORTGAGE,50000,Source Verified,Late (31-120 days),725,729,0
137,30000,30000,36,18.45,1091,D,OWN,108000,Verified,Current,665,669,0
138,16000,16000,60,20.89,432,D,RENT,53000,Source Verified,Fully Paid,660,664,0
139,35000,35000,36,10.9,1144,B,RENT,165000,Verified,Current,685,689,0
140,29000,29000,36,7.02,896,A,OWN,120000,Not Verified,Current,690,694,0
141,14000,14000,60,9.58,295,B,MORTGAGE,52000,Not Verified,Current,745,749,0
142,11000,11000,36,7.35,341,A,RENT,55000,Not Verified,Fully Paid,725,729,0
143,20000,20000,60,15.02,476,C,RENT,75000,Not Verified,Current,700,704,0
144,40000,40000,36,8.19,1257,A,RENT,1.00E+05,Source Verified,Current,725,729,0
145,25000,25000,36,6.08,761,A,MORTGAGE,1.00E+05,Source Verified,Current,765,769,0
146,10000,10000,60,14.07,233,C,MORTGAGE,57000,Not Verified,Current,685,689,0
147,40000,40000,60,12.13,892,B,MORTGAGE,150000,Source Verified,Current,725,729,0
148,10000,10000,36,11.8,331,B,RENT,47500,Not Verified,Current,770,774,0
149,29000,29000,60,6.11,562,A,RENT,80000,Not Verified,Current,740,744,0
150,6000,6000,36,6.83,185,A,OWN,50000,Not Verified,Current,730,734,0
151,11000,11000,36,15.05,382,C,RENT,20000,Verified,Current,680,684,0
152,10000,10000,60,9.93,212,B,MORTGAGE,38000,Source Verified,Current,705,709,0
153,14000,14000,60,18.94,363,D,RENT,72000,Source Verified,Current,675,679,0
154,12500,12500,36,11.55,413,B,MORTGAGE,125000,Not Verified,Current,710,714,3
155,3300,3300,36,6.67,101,A,RENT,38400,Not Verified,Current,755,759,0
156,20000,20000,36,13.56,679,C,RENT,80000,Source Verified,Charged Off,690,694,0
157,18500,18500,60,10.47,397,B,OWN,65000,Source Verified,Current,680,684,0
158,25000,25000,36,6.67,768,A,MORTGAGE,115000,Not Verified,Current,755,759,0
159,16000,16000,60,16.01,389,C,OWN,1.00E+05,Source Verified,Current,675,679,0
160,40000,40000,60,16.91,992,C,MORTGAGE,405000,Verified,Current,690,694,1
161,3400,3400,36,8.46,107,A,MORTGAGE,75000,Not Verified,Current,670,674,0
162,20000,20000,60,25.34,591,E,MORTGAGE,70000,Verified,Current,660,664,0
163,26400,26400,60,10.9,573,B,MORTGAGE,80000,Not Verified,Current,735,739,0
164,14000,14000,36,7.96,438,A,RENT,115000,Not Verified,Current,735,739,0
165,10000,10000,36,6.11,305,A,RENT,115000,Not Verified,Current,720,724,0
166,25000,25000,36,25.34,999,E,MORTGAGE,230000,Verified,Charged Off,710,714,3
167,11000,11000,36,6.83,339,A,MORTGAGE,90000,Source Verified,Current,670,674,1
168,16000,16000,36,7.02,494,A,RENT,27000,Verified,Current,710,714,0
169,2600,2600,36,16.14,92,C,RENT,30000,Not Verified,Current,685,689,0
170,7500,7500,36,24.37,296,E,RENT,22000,Verified,Current,665,669,0
171,40000,40000,36,14.47,1376,C,MORTGAGE,1.00E+05,Not Verified,Current,710,714,0
172,25000,25000,60,7.84,505,A,RENT,45000,Source Verified,Current,770,774,0
173,4350,4350,36,15.02,151,C,MORTGAGE,0,Not Verified,Current,695,699,0
174,5000,5000,36,8.81,159,A,RENT,25000,Verified,Current,725,729,0
175,10000,10000,36,12.73,336,B,RENT,151000,Source Verified,Current,660,664,1
176,32000,32000,60,12.73,724,B,OWN,1.00E+05,Source Verified,Current,785,789,1
177,6950,6950,36,25.34,278,E,RENT,25000,Verified,Current,665,669,1
178,8000,8000,36,8.81,254,A,RENT,35000,Not Verified,Current,705,709,1
179,35000,35000,36,7.84,1094,A,MORTGAGE,3.00E+05,Source Verified,Current,740,744,0
180,20000,20000,36,14.08,684,C,RENT,110000,Source Verified,Current,750,754,0
181,20000,20000,36,30.84,858,G,RENT,178600,Verified,In Grace Period,710,714,0
182,30000,30000,36,20.39,1121,D,RENT,120000,Source Verified,Current,665,669,0
183,20000,20000,36,15.02,694,C,MORTGAGE,52000,Source Verified,Current,690,694,1
184,9000,9000,36,10.9,294,B,MORTGAGE,65000,Source Verified,Current,690,694,1
185,4500,4500,36,6.11,137,A,MORTGAGE,1.00E+05,Not Verified,Fully Paid,820,824,0
186,11000,11000,36,14.08,376,C,MORTGAGE,61000,Verified,Fully Paid,665,669,0
187,10000,10000,36,22.35,384,D,MORTGAGE,34800,Not Verified,Current,675,679,0
188,12000,12000,36,6.07,365,A,RENT,115000,Verified,Current,755,759,1
189,10000,10000,36,7.34,310,A,MORTGAGE,48000,Not Verified,Current,810,814,0
190,10000,10000,60,16.46,246,C,RENT,50000,Source Verified,Current,720,724,2
191,28000,28000,60,15.49,673,C,MORTGAGE,95000,Verified,Current,665,669,0
192,25000,25000,60,11.06,544,B,OWN,152000,Verified,Current,715,719,1
193,5500,5500,36,12.61,184,C,RENT,42500,Not Verified,Current,660,664,0
194,5000,5000,36,6.19,153,A,MORTGAGE,36000,Not Verified,Current,720,724,1
195,10000,10000,60,24.84,293,E,MORTGAGE,48000,Not Verified,Current,705,709,1
196,32000,32000,36,10.47,1040,B,RENT,1.00E+05,Source Verified,Current,760,764,0
197,15000,15000,36,15.02,520,C,MORTGAGE,53000,Source Verified,Fully Paid,660,664,0
198,6000,6000,36,10.47,195,B,MORTGAGE,105000,Verified,Current,685,689,1
199,30000,30000,60,24.84,878,E,RENT,107000,Source Verified,Fully Paid,700,704,2
200,16000,16000,60,28.72,505,F,RENT,32500,Source Verified,Current,675,679,0
